id,filename,src,fails,wins
1064111872,1064111872.jpg,https://i.chzbgr.com/full/1064111872/hDB5AAB56/,32,135
1064704768,1064704768.jpg,https://i.chzbgr.com/full/1064704768/h140A16E9/,74,47
1064893184,1064893184.jpg,https://i.chzbgr.com/full/1064893184/h83123D53/,19,151
1065254144,1065254144.jpg,https://i.chzbgr.com/full/1065254144/h64C98C6E/,26,234
1066285824,1066285824.jpg,https://i.chzbgr.com/full/1066285824/hD6454199/,24,132
1066397952,1066397952.jpg,https://i.chzbgr.com/full/1066397952/hB0B7E475/,14,78
1067231488,1067231488.jpg,https://i.chzbgr.com/full/1067231488/hA58C6603/,9,134
1070761728,1070761728.jpg,https://i.chzbgr.com/full/1070761728/h75547A6D/,38,269
1078358272,1078358272.jpg,https://i.chzbgr.com/full/1078358272/hB47EC1C5/,59,111
1092953344,1092953344.jpg,https://i.chzbgr.com/full/1092953344/h9F220A7A/,8,144
1106860800,1106860800.jpg,https://i.chzbgr.com/full/1106860800/hB97DC80F/,22,254
1170345728,1170345728.jpg,https://i.chzbgr.com/full/1170345728/hD366AA5D/,24,234
1187925760,1187925760.jpg,https://i.chzbgr.com/full/1187925760/hDF5A8E28/,18,155
1212731136,1212731136.jpg,https://i.chzbgr.com/full/1212731136/h06F889BD/,44,228
1219446528,1219446528.jpg,https://i.chzbgr.com/full/1219446528/h51037D8A/,31,263
1222937856,1222937856.jpg,https://i.chzbgr.com/full/1222937856/hAF207669/,21,250
1227598080,1227598080.jpg,https://i.chzbgr.com/full/1227598080/h78D0C6CE/,71,238
1245617920,1245617920.jpg,https://i.chzbgr.com/full/1245617920/h3C93C23D/,31,85
1252481792,1252481792.jpg,https://i.chzbgr.com/full/1252481792/h63F5ABB0/,40,261
1254706432,1254706432.jpg,https://i.chzbgr.com/full/1254706432/h305F61AD/,87,413
1254717696,1254717696.jpg,https://i.chzbgr.com/full/1254717696/hCB04E6FF/,18,102
1254787328,1254787328.jpg,https://i.chzbgr.com/full/1254787328/h895D4D0B/,5,127
1254963968,1254963968.jpg,https://i.chzbgr.com/full/1254963968/h2502BE15/,37,85
1255602944,1255602944.jpg,https://i.chzbgr.com/full/1255602944/h07D620C0/,96,116
1256973056,1256973056.jpg,https://i.chzbgr.com/full/1256973056/h48DA5BE9/,29,77
1257849088,1257849088.jpg,https://i.chzbgr.com/full/1257849088/h27CEA8DB/,23,137
1261068544,1261068544.jpg,https://i.chzbgr.com/full/1261068544/hC027A342/,9,91
1262423296,1262423296.jpg,https://i.chzbgr.com/full/1262423296/hE9E8D648/,17,346
1265253632,1265253632.jpg,https://i.chzbgr.com/full/1265253632/hFF0B137E/,12,115
1267681024,1267681024.jpg,https://i.chzbgr.com/full/1267681024/h4EE2E592/,22,85
1272037632,1272037632.jpg,https://i.chzbgr.com/full/1272037632/hC1599348/,22,114
1282255104,1282255104.jpg,https://i.chzbgr.com/full/1282255104/h0AA88086/,51,206
1284990208,1284990208.jpg,https://i.chzbgr.com/full/1284990208/hA56FC30F/,15,81
1310467328,1310467328.jpg,https://i.chzbgr.com/full/1310467328/hF52AC9A8/,51,124
1311450880,1311450880.jpg,https://i.chzbgr.com/full/1311450880/h5BA80889/,9,102
1313332992,1313332992.jpg,https://i.chzbgr.com/full/1313332992/hDC85690B/,38,112
1315297536,1315297536.jpg,https://i.chzbgr.com/full/1315297536/hDFBA8B5B/,6,179
1324893952,1324893952.jpg,https://i.chzbgr.com/full/1324893952/hCB137598/,23,69
1334385408,1334385408.jpg,https://i.chzbgr.com/full/1334385408/h5567D96A/,48,212
1338934528,1338934528.jpg,https://i.chzbgr.com/full/1338934528/h39CECF22/,12,99
1339988224,1339988224.jpg,https://i.chzbgr.com/full/1339988224/hF9F89029/,12,44
1340151552,1340151552.jpg,https://i.chzbgr.com/full/1340151552/hCB2CA0F9/,17,149
1343962880,1343962880.jpg,https://i.chzbgr.com/full/1343962880/h9835EC0E/,75,128
1355023616,1355023616.jpg,https://i.chzbgr.com/full/1355023616/h4E86A902/,22,301
1357023488,1357023488.jpg,https://i.chzbgr.com/full/1357023488/h78E7BE7E/,7,215
1357814528,1357814528.jpg,https://i.chzbgr.com/full/1357814528/h72BED6D1/,33,101
1362757376,1362757376.jpg,https://i.chzbgr.com/full/1362757376/h44EF4DEA/,127,111
1364887808,1364887808.jpg,https://i.chzbgr.com/full/1364887808/h622BA6BF/,36,116
1379670272,1379670272.jpg,https://i.chzbgr.com/full/1379670272/hE3404103/,26,237
1382078720,1382078720.jpg,https://i.chzbgr.com/full/1382078720/hC34EE914/,12,252
1383449344,1383449344.jpg,https://i.chzbgr.com/full/1383449344/h5B5FE644/,13,232
1386208512,1386208512.jpg,https://i.chzbgr.com/full/1386208512/hEF2AF23E/,24,271
1388516608,1388516608.jpg,https://i.chzbgr.com/full/1388516608/h91A5FE6C/,21,207
1392401664,1392401664.jpg,https://i.chzbgr.com/full/1392401664/hFC520A31/,22,321
1396791552,1396791552.jpg,https://i.chzbgr.com/full/1396791552/h6CF28705/,15,150
1398521088,1398521088.jpg,https://i.chzbgr.com/full/1398521088/h4B235A8F/,15,109
1400713472,1400713472.jpg,https://i.chzbgr.com/full/1400713472/h0A052A44/,9,361
1405063936,1405063936.jpg,https://i.chzbgr.com/full/1405063936/h15BE0A2E/,19,186
1414362368,1414362368.jpg,https://i.chzbgr.com/full/1414362368/hBA21886D/,59,215
1419347200,1419347200.jpg,https://i.chzbgr.com/full/1419347200/h8095E761/,57,170
1419766528,1419766528.jpg,https://i.chzbgr.com/full/1419766528/hDFAD3AF0/,4,181
1423463168,1423463168.jpg,https://i.chzbgr.com/full/1423463168/hB4AB6C0E/,28,193
1423826688,1423826688.jpg,https://i.chzbgr.com/full/1423826688/h34381C40/,36,219
1427425024,1427425024.jpg,https://i.chzbgr.com/full/1427425024/h2AF7B62E/,15,206
1427507456,1427507456.jpg,https://i.chzbgr.com/full/1427507456/hF6EF63E5/,54,183
1427948288,1427948288.jpg,https://i.chzbgr.com/full/1427948288/h01EDD768/,50,250
1429163776,1429163776.jpg,https://i.chzbgr.com/full/1429163776/h337D8B10/,43,310
1431503616,1431503616.jpg,https://i.chzbgr.com/full/1431503616/h6E73FB68/,28,142
1431516928,1431516928.jpg,https://i.chzbgr.com/full/1431516928/h0EA20A6D/,42,175
1437571840,1437571840.jpg,https://i.chzbgr.com/full/1437571840/hDE2E74A5/,61,128
1450593024,1450593024.jpg,https://i.chzbgr.com/full/1450593024/h0AD7271E/,53,215
1452723456,1452723456.jpg,https://i.chzbgr.com/full/1452723456/hCD4EB7B1/,30,113
1459373824,1459373824.jpg,https://i.chzbgr.com/full/1459373824/hD1AB4BF7/,18,209
1459505408,1459505408.jpg,https://i.chzbgr.com/full/1459505408/h3198FE89/,15,92
1463544576,1463544576.jpg,https://i.chzbgr.com/full/1463544576/h7EB22838/,63,407
1465578240,1465578240.jpg,https://i.chzbgr.com/full/1465578240/h24DA1235/,25,66
1465715968,1465715968.jpg,https://i.chzbgr.com/full/1465715968/hA7878F1A/,13,316
1469529344,1469529344.jpg,https://i.chzbgr.com/full/1469529344/h5F013375/,11,185
1470258944,1470258944.jpg,https://i.chzbgr.com/full/1470258944/hC54E4814/,11,231
1470639872,1470639872.jpg,https://i.chzbgr.com/full/1470639872/h4471B2D0/,28,127
1471126272,1471126272.jpg,https://i.chzbgr.com/full/1471126272/h10A94E6B/,103,146
1473982208,1473982208.jpg,https://i.chzbgr.com/full/1473982208/hB3A94760/,23,318
1474502400,1474502400.jpg,https://i.chzbgr.com/full/1474502400/h6DC44895/,40,131
1475924224,1475924224.jpg,https://i.chzbgr.com/full/1475924224/hCED36CEA/,20,268
1477341440,1477341440.jpg,https://i.chzbgr.com/full/1477341440/hE994B0B4/,55,254
1479023360,1479023360.jpg,https://i.chzbgr.com/full/1479023360/h34A7F338/,44,114
1481733888,1481733888.jpg,https://i.chzbgr.com/full/1481733888/hD6BF6C52/,45,223
1484388608,1484388608.jpg,https://i.chzbgr.com/full/1484388608/h6545292A/,94,188
1485769472,1485769472.jpg,https://i.chzbgr.com/full/1485769472/h96EB079F/,21,282
1486171392,1486171392.jpg,https://i.chzbgr.com/full/1486171392/h1DCBC6A2/,20,129
1486578432,1486578432.jpg,https://i.chzbgr.com/full/1486578432/h8075A21E/,23,119
1490591488,1490591488.jpg,https://i.chzbgr.com/full/1490591488/hDC6B27DE/,40,244
1492962048,1492962048.jpg,https://i.chzbgr.com/full/1492962048/h305CC971/,14,132
1493336832,1493336832.jpg,https://i.chzbgr.com/full/1493336832/hF5F8BDEC/,42,168
1495453440,1495453440.jpg,https://i.chzbgr.com/full/1495453440/h667E3399/,13,390
1496870656,1496870656.jpg,https://i.chzbgr.com/full/1496870656/hEAC3C1FD/,11,198
1503131904,1503131904.jpg,https://i.chzbgr.com/full/1503131904/hD140D405/,33,365
1503175936,1503175936.jpg,https://i.chzbgr.com/full/1503175936/h55BCD43C/,8,189
1503340800,1503340800.jpg,https://i.chzbgr.com/full/1503340800/h5A42F3F2/,8,166
1508719872,1508719872.jpg,https://i.chzbgr.com/full/1508719872/h63D6B39A/,85,123
1512441088,1512441088.jpg,https://i.chzbgr.com/full/1512441088/hCCD5BFAA/,11,242
